variable,type,region,side,landmarks,mirror,n_missing,pct_missing
ALL-ALR,distance,nasomaxillary,bilateral,ALL|ALR,,8,33.33
ANS-CP,distance,nasomaxillary,midline,ANS,,11,45.83
ANS-PNS,distance,nasomaxillary,midline,ANS|PNS,,11,45.83
ANS-SMP,distance,nasomaxillary,midline,ANS|SMP,,11,45.83
ANS-SP,distance,nasomaxillary,midline,ANS,,11,45.83
BA-CP,distance,cranial_base,midline,BA,,0,0.0
BA-SP,distance,cranial_base,midline,BA,,0,0.0
ES-CP,distance,cranial_base,midline,ES,,0,0.0
ES-S-SO,angle,cranial_base,midline,ES|S|SO,,0,0.0
ES-SO,distance,cranial_base,midline,ES|SO,,0,0.0
ES-SP,distance,cranial_base,midline,ES,,0,0.0
JL-JR,distance,nasomaxillary,bilateral,JL|JR,,3,12.5
LOrL-Or,distance,orbital,L,LOrL|Or,LOrR-OrR,0,0.0
LOrR-OrR,distance,orbital,R,LOrR|OrR,LOrL-Or,0,0.0
LPP-LPPR,distance,palatal_pterygoid,bilateral,LPP|LPPR,,1,4.17
LPP-PP-MPP,angle,palatal_pterygoid,L,LPP|PP|MPP,LPPR-PPR-MPPR,1,4.17
LPP-S-LPPR,angle,palatal_pterygoid,bilateral,LPP|S|LPPR,,1,4.17
LPP-S-MPP,angle,palatal_pterygoid,L,LPP|S|MPP,LPPR-S-MPPR,1,4.17
LPP-SP,distance,palatal_pterygoid,L,LPP,LPPR-SP,1,4.17
LPPR-CP,distance,palatal_pterygoid,R,LPPR,,1,4.17
LPPR-PPR-MPPR,angle,palatal_pterygoid,R,LPPR|PPR|MPPR,LPP-PP-MPP,1,4.17
LPPR-S-MPPR,angle,palatal_pterygoid,R,LPPR|S|MPPR,LPP-S-MPP,1,4.17
LPPR-SP,distance,palatal_pterygoid,R,LPPR,LPP-SP,1,4.17
LW-ES-LWR,angle,cranial_base,bilateral,LW|ES|LWR,,0,0.0
LW-S-LWR,angle,cranial_base,bilateral,LW|S|LWR,,0,0.0
MO-CP,distance,nasomaxillary,L,MO,MOR-CP,0,0.0
MO-MOR,distance,nasomaxillary,bilateral,MO|MOR,,0,0.0
MO-SP,distance,nasomaxillary,L,MO,MOR-SP,0,0.0
MO-TM-PNS,angle,nasomaxillary,L,MO|TM|PNS,MOR-TMR-PNS,8,33.33
MO-ZMs,distance,nasomaxillary,L,MO|ZMs,MOR-ZMsR,0,0.0
MOR-CP,distance,nasomaxillary,R,MOR,MO-CP,0,0.0
MOR-SP,distance,nasomaxillary,R,MOR,MO-SP,0,0.0
MOR-TMR-PNS,angle,nasomaxillary,R,MOR|TMR|PNS,MO-TM-PNS,8,33.33
MOR-ZMsR,distance,nasomaxillary,R,MOR|ZMsR,MO-ZMs,0,0.0
MPP-CP,distance,palatal_pterygoid,L,MPP,MPPR-CP,1,4.17
MPP-MPPR,distance,palatal_pterygoid,bilateral,MPP|MPPR,,1,4.17
MPP-S-MPPR,angle,palatal_pterygoid,bilateral,MPP|S|MPPR,,1,4.17
MPP-SP,distance,palatal_pterygoid,L,MPP,MPPR-SP,1,4.17
MPPR-CP,distance,palatal_pterygoid,R,MPPR,MPP-CP,1,4.17
MPPR-SP,distance,palatal_pterygoid,R,MPPR,MPP-SP,1,4.17
Mas-CP,distance,temporomandibular,L,Mas,MasR-CP,0,0.0
Mas-Po-TP,angle,temporomandibular,L,Mas|Po|TP,MasR-PoR-TPR,0,0.0
Mas-SP,distance,temporomandibular,L,Mas,MasR-SP,0,0.0
Mas-TP,distance,temporomandibular,L,Mas|TP,MasR-TPR,0,0.0
MasR-CP,distance,temporomandibular,R,MasR,Mas-CP,0,0.0
MasR-PoR-TPR,angle,temporomandibular,R,MasR|PoR|TPR,Mas-Po-TP,0,0.0
MasR-SP,distance,temporomandibular,R,MasR,Mas-SP,0,0.0
MasR-TPR,distance,temporomandibular,R,MasR|TPR,Mas-TP,0,0.0
N-ANS,distance,nasomaxillary,midline,N|ANS,,11,45.83
N-BA,distance,cranial_base,midline,N|BA,,0,0.0
N-ES,distance,cranial_base,midline,N|ES,,0,0.0
N-ES-SO,angle,cranial_base,midline,N|ES|SO,,0,0.0
N-Ro,distance,cranial_base,midline,N|Ro,,0,0.0
N-Ro-ANS,angle,nasomaxillary,midline,N|Ro|ANS,,11,45.83
N-S-BA,angle,cranial_base,midline,N|S|BA,,0,0.0
N-S-SO,angle,cranial_base,midline,N|S|SO,,0,0.0
